order_id,customer_id,order_date,status,payment_method,shipping_cost,campaign_id
215,2791,2025-07-18,Delivered,UPI,84.83,
216,9816,2025-05-23,Delivered,Credit Card,193.28,
217,16907,2025-04-14,Delivered,UPI,98.33,
218,2003,2025-06-15,Delivered,Wallet,216.06,
219,13509,2025-04-30,Delivered,Credit Card,76.57,
220,15860,2025-08-02,Delivered,UPI,124.96,5.0
221,5648,2025-01-05,Delivered,Credit Card,57.22,1.0
222,13325,2025-07-05,Delivered,COD,45.2,
223,13679,2025-10-14,Delivered,Debit Card,125.64,
224,14086,2025-04-21,Cancelled,UPI,68.84,7.0
225,17881,2025-11-23,Shipped,COD,53.24,
226,8006,2025-03-12,Cancelled,UPI,166.33,
227,4987,2025-10-29,Delivered,UPI,136.39,
228,10899,2025-10-15,Delivered,UPI,76.95,
229,1268,2025-06-04,Delivered,UPI,59.63,
230,6731,2025-01-01,Delivered,UPI,176.5,
231,17707,2025-02-05,Delivered,Net Banking,45.77,4.0
232,10676,2025-08-03,Delivered,COD,214.84,
233,8803,2025-12-10,Delivered,Net Banking,70.74,
234,5460,2025-06-24,Delivered,Net Banking,111.73,
235,5131,2025-10-21,Delivered,Net Banking,43.89,
236,4847,2025-03-02,Delivered,Credit Card,70.85,
237,16566,2025-11-01,Delivered,UPI,122.98,
238,19735,2025-04-14,Delivered,Net Banking,112.18,2.0
239,10719,2025-02-17,Delivered,UPI,60.0,7.0
240,1610,2025-07-04,Delivered,Credit Card,188.95,3.0
241,14981,2025-07-17,Delivered,Net Banking,83.9,1.0
242,17568,2025-08-19,Delivered,Debit Card,132.6,5.0
243,18714,2025-07-04,Delivered,Wallet,133.64,
244,12628,2025-06-15,Delivered,Credit Card,212.57,
245,10218,2025-09-07,Delivered,Credit Card,181.21,
246,12464,2025-10-10,Delivered,Debit Card,71.69,
247,258,2025-06-10,Delivered,UPI,55.6,
248,13112,2025-11-08,Delivered,Wallet,134.26,8.0
249,14126,2025-05-23,Delivered,Net Banking,200.71,2.0
250,14400,2025-11-30,Delivered,Credit Card,88.17,5.0
251,11267,2025-03-16,Delivered,UPI,193.32,
252,13950,2025-08-17,Delivered,UPI,142.52,
253,12803,2025-12-07,Delivered,Debit Card,106.95,8.0
254,2344,2025-03-27,Delivered,UPI,95.05,
255,18070,2025-12-27,Delivered,Credit Card,130.96,
256,12507,2025-11-03,Delivered,UPI,195.47,
257,14517,2025-06-08,Delivered,UPI,132.72,
258,6915,2025-07-11,Cancelled,UPI,134.14,
259,18497,2025-02-03,Delivered,COD,53.42,
260,10141,2025-06-25,Delivered,COD,146.07,
261,13539,2025-12-29,Delivered,Credit Card,106.62,3.0
262,19106,2025-12-29,Delivered,Credit Card,192.4,4.0
263,18433,2025-03-05,Shipped,Debit Card,192.06,
264,12911,2025-01-06,Delivered,Credit Card,43.59,1.0
265,3340,2025-02-24,Delivered,UPI,73.66,7.0
266,19094,2025-08-08,Delivered,Credit Card,134.24,
267,19717,2025-12-05,Delivered,Debit Card,186.33,
268,2064,2025-01-09,Delivered,COD,87.28,
269,9109,2025-05-16,Delivered,Debit Card,79.02,7.0
270,10982,2025-12-30,Delivered,Credit Card,67.5,5.0
271,1836,2025-07-31,Delivered,Credit Card,44.66,3.0
272,3836,2025-07-15,Delivered,UPI,94.01,6.0
273,10785,2025-01-26,Delivered,Net Banking,140.79,5.0
274,19301,2025-05-24,Delivered,Credit Card,60.66,
275,566,2025-06-26,Cancelled,Net Banking,208.59,3.0
276,18358,2025-07-16,Delivered,UPI,157.1,
277,18076,2025-12-01,Delivered,Credit Card,214.47,
278,17139,2025-12-04,Delivered,Credit Card,121.94,6.0
279,7599,2025-06-15,Delivered,Wallet,103.23,
280,9898,2025-01-10,Delivered,UPI,110.54,8.0
281,8114,2025-11-22,Delivered,Net Banking,70.39,
282,19020,2025-08-10,Delivered,Credit Card,136.15,
283,10500,2025-03-09,Delivered,Credit Card,161.48,
284,1621,2025-08-28,Delivered,UPI,51.93,8.0
285,5598,2025-08-13,Delivered,COD,217.15,
286,9323,2025-05-21,Delivered,Debit Card,198.73,7.0
287,19123,2025-01-23,Delivered,Credit Card,202.42,1.0
288,11395,2025-01-10,Delivered,Debit Card,88.19,
289,13866,2025-09-29,Delivered,Debit Card,59.17,
290,1758,2025-02-06,Delivered,Credit Card,214.83,7.0
291,17574,2025-12-05,Delivered,Net Banking,196.49,
292,10813,2025-02-26,Delivered,Net Banking,70.86,1.0
293,18524,2025-08-03,Delivered,Debit Card,95.98,3.0
294,9003,2025-10-25,Delivered,UPI,62.39,
295,13617,2025-11-19,Delivered,Wallet,178.7,
296,9504,2025-11-27,Delivered,Credit Card,87.74,
297,2877,2025-08-05,Delivered,Debit Card,196.68,
298,5567,2025-04-04,Cancelled,UPI,148.0,
299,1358,2025-03-21,Delivered,Wallet,136.23,6.0
300,8894,2025-06-25,Shipped,UPI,165.21,
301,13010,2025-09-04,Delivered,Wallet,57.37,6.0
302,4987,2025-11-20,Delivered,UPI,114.51,
303,9894,2025-07-16,Delivered,UPI,66.07,2.0
304,9267,2025-10-02,Delivered,Net Banking,190.42,
305,10700,2025-09-29,Delivered,UPI,50.16,5.0
306,3716,2025-02-14,Cancelled,Credit Card,179.85,
307,10705,2025-11-06,Delivered,Credit Card,187.57,
308,7362,2025-06-18,Delivered,Net Banking,180.88,
309,5822,2025-01-22,Delivered,Net Banking,147.78,
310,11774,2025-08-11,Delivered,Wallet,117.05,
311,2992,2025-12-04,Delivered,Net Banking,76.09,
312,18121,2025-10-20,Delivered,Debit Card,184.24,
313,18779,2025-02-15,Delivered,COD,120.88,
314,13219,2025-11-01,Delivered,UPI,44.37,
315,6124,2025-01-17,Delivered,Wallet,86.55,
316,12576,2025-08-13,Delivered,UPI,104.68,
317,12083,2025-02-13,Delivered,Wallet,108.31,
318,7865,2025-08-24,Delivered,UPI,66.72,1.0
319,5843,2025-03-01,Shipped,UPI,62.68,
320,3383,2025-11-30,Delivered,COD,162.8,
321,4407,2025-09-13,Delivered,UPI,177.96,
322,13071,2025-06-22,Delivered,Credit Card,161.47,
323,17766,2025-12-04,Delivered,Credit Card,183.17,6.0
324,7753,2025-03-09,Delivered,UPI,86.82,
325,2485,2025-11-25,Delivered,COD,209.02,5.0
326,256,2025-02-12,Delivered,Debit Card,106.28,1.0
327,8169,2025-10-24,Shipped,COD,136.0,
328,4751,2025-02-24,Delivered,Net Banking,173.94,
329,6510,2025-03-01,Delivered,COD,153.7,8.0
330,4948,2025-11-20,Delivered,Debit Card,126.99,7.0
331,13281,2025-06-25,Delivered,COD,134.1,8.0
332,12800,2025-04-11,Delivered,UPI,73.8,
333,18357,2025-09-16,Delivered,Credit Card,91.15,
334,13945,2025-11-20,Delivered,UPI,178.76,
335,3326,2025-06-12,Shipped,UPI,91.06,4.0
336,14989,2025-04-24,Delivered,Debit Card,60.64,
337,3644,2025-04-20,Delivered,UPI,152.92,1.0
338,11176,2025-09-26,Delivered,Credit Card,197.85,
339,1556,2025-10-04,Delivered,Wallet,172.68,
340,978,2025-12-05,Delivered,Credit Card,177.35,6.0
341,9367,2025-01-08,Delivered,Credit Card,135.54,
342,2096,2025-02-22,Delivered,Net Banking,118.22,4.0
343,6205,2025-08-19,Delivered,Debit Card,84.69,3.0
344,6835,2025-04-27,Delivered,Debit Card,129.86,2.0
345,15396,2025-06-26,Delivered,UPI,78.82,
346,6705,2025-12-10,Cancelled,UPI,128.96,
347,9961,2025-02-06,Delivered,Credit Card,181.22,
348,15469,2025-09-12,Delivered,UPI,40.06,
349,4152,2025-11-03,Delivered,Wallet,66.88,
350,16097,2025-02-15,Delivered,Credit Card,89.47,
351,16615,2025-09-11,Shipped,Debit Card,218.19,8.0
352,19816,2025-11-11,Delivered,Credit Card,40.58,2.0
353,8972,2025-03-22,Delivered,Credit Card,169.07,
354,7483,2025-02-21,Delivered,Credit Card,97.49,
355,13974,2025-01-25,Delivered,UPI,95.56,
356,1173,2025-10-11,Delivered,Net Banking,161.49,
357,816,2025-06-12,Delivered,Debit Card,53.29,6.0
358,6752,2025-07-15,Delivered,UPI,47.15,5.0
359,14544,2025-02-07,Delivered,Credit Card,64.08,
360,2363,2025-02-13,Delivered,Debit Card,85.63,5.0
361,12747,2025-09-22,Delivered,Credit Card,72.89,5.0
362,5522,2025-06-11,Delivered,Debit Card,88.26,6.0
363,13047,2025-11-13,Delivered,UPI,170.86,2.0
364,9233,2025-10-28,Delivered,Net Banking,84.44,
365,2337,2025-10-28,Shipped,UPI,192.06,
366,5073,2025-11-20,Delivered,Debit Card,70.72,
367,4468,2025-11-16,Delivered,Net Banking,57.09,
368,3319,2025-07-31,Delivered,Credit Card,153.26,
369,9453,2025-04-24,Delivered,Debit Card,109.77,
370,19146,2025-08-08,Delivered,COD,156.77,8.0
371,13163,2025-04-04,Delivered,Debit Card,197.96,
372,16702,2025-03-16,Delivered,Debit Card,118.43,
373,19661,2025-07-17,Delivered,UPI,71.83,6.0
374,10849,2025-09-01,Delivered,COD,60.49,
375,4882,2025-06-27,Delivered,Net Banking,217.58,
376,18650,2025-11-03,Delivered,Debit Card,55.26,4.0
377,13925,2025-08-17,Delivered,Credit Card,208.92,
378,19223,2025-12-25,Cancelled,UPI,80.52,
379,13032,2025-03-08,Delivered,Debit Card,127.72,
380,15516,2025-05-04,Delivered,UPI,218.81,2.0
381,17878,2025-01-27,Delivered,Debit Card,93.18,3.0
382,15154,2025-07-15,Delivered,Credit Card,165.24,
383,11257,2025-01-19,Delivered,Debit Card,170.93,
384,9533,2025-09-13,Delivered,UPI,187.87,
385,16455,2025-04-09,Delivered,Debit Card,50.58,
386,15460,2025-10-19,Delivered,Debit Card,71.04,
387,7416,2025-01-15,Shipped,Debit Card,58.41,1.0
388,10060,2025-05-13,Delivered,UPI,51.61,
389,12731,2025-12-11,Delivered,Credit Card,64.82,4.0
390,579,2025-01-26,Delivered,UPI,65.48,
391,5080,2025-11-24,Delivered,Wallet,77.25,
392,5131,2025-05-11,Delivered,Wallet,59.53,4.0
393,17707,2025-01-15,Delivered,Credit Card,193.85,5.0
394,6679,2025-12-01,Delivered,Credit Card,140.95,
395,10923,2025-06-18,Delivered,COD,126.8,
396,16612,2025-06-20,Delivered,Credit Card,49.22,8.0
397,5335,2025-09-28,Delivered,COD,118.91,
398,2518,2025-07-03,Delivered,COD,212.75,3.0
399,19041,2025-10-25,Delivered,UPI,94.39,
400,14038,2025-08-10,Delivered,Credit Card,179.85,3.0
401,3543,2025-05-06,Delivered,UPI,62.73,2.0
402,16395,2025-09-08,Delivered,Credit Card,157.78,
403,15748,2025-02-02,Delivered,Net Banking,199.24,3.0
404,16741,2025-07-12,Delivered,Credit Card,128.16,
405,5645,2025-05-15,Delivered,Debit Card,119.05,
406,9069,2025-06-07,Cancelled,Wallet,130.31,
407,13818,2025-09-22,Delivered,Debit Card,218.5,
408,7855,2025-03-04,Delivered,Debit Card,184.68,
409,1403,2025-01-13,Delivered,Credit Card,206.94,6.0
410,2774,2025-11-24,Delivered,UPI,61.92,
411,11987,2025-11-17,Delivered,Debit Card,215.44,3.0
412,7554,2025-12-07,Delivered,Credit Card,43.7,3.0
413,113,2025-10-05,Delivered,Credit Card,212.88,
414,15328,2025-11-27,Delivered,UPI,119.65,
415,8407,2025-05-08,Delivered,Debit Card,126.4,5.0
416,6339,2025-02-27,Delivered,UPI,177.62,8.0
417,14208,2025-10-01,Delivered,Credit Card,119.62,
418,9191,2025-05-19,Delivered,UPI,106.06,5.0
419,13839,2025-04-18,Delivered,Net Banking,45.12,
420,260,2025-08-20,Delivered,COD,109.87,1.0
421,179,2025-02-25,Delivered,UPI,189.66,
422,11199,2025-08-20,Delivered,UPI,142.3,
423,19680,2025-11-23,Delivered,UPI,216.45,
424,5574,2025-09-28,Delivered,UPI,124.29,
425,13615,2025-07-19,Delivered,COD,121.71,
426,3452,2025-07-10,Delivered,UPI,206.96,7.0
427,6304,2025-05-06,Delivered,Debit Card,108.42,
428,1580,2025-10-20,Delivered,UPI,94.55,6.0
429,17649,2025-12-12,Delivered,UPI,153.83,
430,6284,2025-07-06,Shipped,Debit Card,158.25,1.0
431,4701,2025-11-26,Delivered,Debit Card,209.79,8.0
432,14557,2025-01-09,Delivered,Wallet,197.65,6.0
433,4042,2025-03-16,Shipped,Net Banking,214.62,
434,4923,2025-01-20,Delivered,Debit Card,101.94,7.0
435,2066,2025-07-28,Delivered,Credit Card,180.03,
436,19297,2025-05-11,Delivered,COD,126.85,
437,5082,2025-11-14,Delivered,Debit Card,43.64,
438,19933,2025-09-25,Shipped,UPI,182.57,
439,3520,2025-08-31,Delivered,Debit Card,112.55,
440,409,2025-02-17,Delivered,UPI,65.3,6.0
441,17998,2025-04-20,Delivered,UPI,196.21,6.0
442,11629,2025-10-10,Delivered,COD,196.5,1.0
443,7084,2025-03-20,Delivered,Debit Card,158.99,8.0
444,10349,2025-10-02,Delivered,Debit Card,72.42,
445,5354,2025-12-02,Delivered,Debit Card,162.55,
446,12729,2025-11-22,Delivered,Credit Card,100.12,3.0
447,12397,2025-01-12,Delivered,Credit Card,84.87,
448,1618,2025-11-26,Delivered,Credit Card,150.57,7.0
449,18324,2025-04-26,Delivered,UPI,186.71,8.0
450,9299,2025-06-20,Cancelled,Wallet,107.74,
451,3957,2025-07-26,Delivered,Debit Card,40.25,4.0
452,6219,2025-06-10,Delivered,Wallet,136.92,
453,17339,2025-09-04,Delivered,Net Banking,133.99,5.0
454,7718,2025-11-12,Delivered,UPI,89.38,
455,11243,2025-10-01,Delivered,Wallet,93.26,
456,19024,2025-04-04,Shipped,COD,177.85,
457,13047,2025-12-07,Shipped,Debit Card,109.4,
458,13482,2025-10-01,Delivered,Debit Card,95.57,
459,5098,2025-02-22,Delivered,UPI,118.89,
460,13326,2025-10-11,Delivered,Wallet,66.55,
461,7921,2025-01-13,Delivered,COD,63.34,5.0
462,18332,2025-09-02,Delivered,Credit Card,61.26,
463,2612,2025-12-09,Delivered,UPI,78.09,
464,5815,2025-08-13,Delivered,UPI,118.96,
465,1338,2025-05-02,Delivered,UPI,162.91,6.0
466,7673,2025-12-28,Delivered,Credit Card,102.68,
467,2998,2025-11-04,Cancelled,Credit Card,216.07,3.0
468,16892,2025-04-08,Delivered,Debit Card,87.96,
469,18596,2025-01-27,Delivered,Credit Card,181.64,5.0
470,13352,2025-12-21,Delivered,UPI,132.47,5.0
471,2062,2025-01-14,Delivered,Net Banking,70.32,6.0
472,6890,2025-09-23,Delivered,Wallet,45.51,5.0
473,19327,2025-12-26,Delivered,Credit Card,119.37,2.0
474,2771,2025-04-07,Delivered,UPI,56.31,
475,11142,2025-12-09,Delivered,UPI,199.58,2.0
476,7114,2025-06-14,Delivered,Net Banking,183.5,2.0
477,19989,2025-04-03,Shipped,UPI,114.84,
478,5809,2025-01-31,Delivered,Wallet,171.22,
479,982,2025-08-24,Shipped,UPI,122.77,1.0
480,13976,2025-10-01,Delivered,Wallet,102.36,
481,6587,2025-09-11,Shipped,UPI,69.22,
482,13153,2025-08-25,Delivered,UPI,208.1,4.0
483,2092,2025-09-01,Delivered,Net Banking,129.57,
484,10525,2025-07-20,Delivered,UPI,193.94,
485,7557,2025-03-25,Delivered,Credit Card,59.86,
486,10765,2025-08-25,Delivered,Debit Card,116.41,5.0
487,17068,2025-11-28,Delivered,Credit Card,61.6,7.0
488,19504,2025-01-07,Delivered,UPI,103.62,
489,15021,2025-12-26,Delivered,Net Banking,113.91,
490,15328,2025-12-23,Delivered,Credit Card,64.21,
491,10628,2025-04-16,Delivered,UPI,188.59,5.0
492,1932,2025-06-16,Delivered,Credit Card,149.68,3.0
