return_id,order_id,order_item_id,return_date,return_qty,reason,refund_amount
158,1726,3543,2025-09-25,2,Wrong Item,15633.02
159,1751,3588,2025-12-12,1,Not as Expected,1616.62
160,1778,3639,2025-08-19,2,Damaged,39781.8
161,1785,3651,2025-12-31,1,Size Issue,7062.58
162,1791,3666,2025-12-25,1,Damaged,70616.14
163,1800,3682,2025-03-29,1,Size Issue,9243.45
164,1804,3690,2025-05-19,1,Wrong Item,69541.17
165,1808,3701,2025-11-30,1,Changed Mind,11001.14
166,1831,3748,2025-12-31,1,Not as Expected,65630.36
167,1839,3764,2025-05-27,1,Changed Mind,3359.84
168,1868,3820,2025-04-18,1,Not as Expected,75913.25
169,1892,3871,2025-03-29,1,Size Issue,10310.01
170,1913,3920,2025-10-13,1,Not as Expected,12453.89
171,1913,3921,2025-09-23,2,Changed Mind,8903.17
172,1954,3998,2025-10-29,3,Size Issue,52849.64
173,1958,4007,2025-07-07,1,Not as Expected,3802.6
174,1961,4016,2025-09-19,1,Damaged,7799.87
175,1993,4074,2025-04-16,1,Damaged,69276.49
176,1996,4080,2025-05-10,1,Size Issue,65029.29
177,2015,4116,2025-12-31,1,Changed Mind,32008.06
178,2039,4171,2025-06-05,1,Size Issue,9401.25
179,2051,4193,2025-12-31,1,Damaged,1997.88
180,2057,4203,2025-06-25,1,Changed Mind,14905.38
181,2074,4242,2025-05-04,1,Damaged,5351.01
182,2123,4333,2025-12-02,2,Changed Mind,21664.98
183,2125,4335,2025-12-31,1,Size Issue,12974.84
184,2131,4347,2025-05-09,2,Wrong Item,14175.94
185,2145,4374,2025-11-30,1,Not as Expected,55817.28
186,2154,4389,2025-09-14,1,Changed Mind,2853.65
187,2156,4393,2025-03-18,1,Wrong Item,6465.46
188,2162,4405,2025-11-16,1,Changed Mind,13107.71
189,2178,4435,2025-04-09,1,Wrong Item,3989.25
190,2183,4451,2025-03-25,1,Changed Mind,4881.81
191,2184,4452,2025-12-31,1,Damaged,8781.28
192,2192,4471,2025-08-29,1,Size Issue,74915.56
193,2197,4480,2025-09-17,1,Size Issue,1109.22
194,2200,4487,2025-08-07,1,Changed Mind,3476.96
195,2211,4504,2025-06-19,3,Wrong Item,70343.43
196,2212,4508,2025-03-18,2,Changed Mind,22327.96
197,2224,4532,2025-07-09,1,Wrong Item,6629.89
198,2232,4550,2025-06-12,1,Changed Mind,53836.23
199,2251,4592,2025-04-02,1,Wrong Item,2738.08
200,2256,4605,2025-07-26,1,Changed Mind,528.28
201,2270,4636,2025-02-06,1,Not as Expected,15381.06
202,2272,4640,2025-05-29,1,Damaged,69276.49
203,2272,4642,2025-06-09,1,Not as Expected,22334.76
204,2275,4650,2025-11-29,1,Changed Mind,60565.76
205,2277,4653,2025-10-13,2,Changed Mind,12001.3
206,2286,4674,2025-08-02,1,Wrong Item,4622.7
207,2295,4693,2025-03-14,1,Changed Mind,22144.04
208,2297,4697,2025-04-28,1,Size Issue,1837.0
209,2318,4736,2025-10-17,1,Changed Mind,16238.97
210,2345,4804,2025-11-02,1,Damaged,7394.76
211,2360,4832,2025-04-25,1,Damaged,469.58
212,2367,4848,2025-03-11,1,Size Issue,3331.62
213,2448,5016,2025-11-17,1,Wrong Item,2853.65
214,2453,5028,2025-02-07,1,Wrong Item,2543.35
215,2477,5074,2025-09-09,1,Not as Expected,8686.53
216,2485,5095,2025-07-25,1,Changed Mind,61984.23
217,2497,5122,2025-02-05,1,Wrong Item,4505.03
218,2509,5142,2025-10-05,1,Not as Expected,13672.06
219,2515,5151,2025-02-16,1,Damaged,24944.86
220,2516,5152,2025-12-31,1,Size Issue,25817.09
221,2534,5189,2025-07-22,1,Wrong Item,26775.06
222,2539,5201,2025-09-03,1,Damaged,16750.23
223,2542,5207,2025-07-25,2,Damaged,55836.9
224,2558,5243,2025-12-25,1,Damaged,6628.98
225,2569,5262,2025-02-05,1,Wrong Item,24786.92
226,2577,5283,2025-02-27,1,Size Issue,1469.6
227,2578,5287,2025-02-25,1,Not as Expected,13146.12
228,2584,5301,2025-06-04,2,Damaged,8512.58
229,2589,5313,2025-04-27,1,Not as Expected,7816.51
230,2593,5320,2025-06-25,2,Damaged,29373.21
231,2598,5333,2025-09-16,1,Wrong Item,8384.42
232,2600,5336,2025-12-31,1,Wrong Item,12348.38
233,2611,5357,2025-12-17,1,Changed Mind,7183.84
234,2624,5394,2025-04-21,1,Wrong Item,71169.78
235,2627,5406,2025-07-12,1,Not as Expected,46929.27
236,2643,5432,2025-12-14,1,Wrong Item,19996.54
237,2680,5506,2025-02-10,1,Changed Mind,8737.91
238,2681,5512,2025-08-11,1,Wrong Item,8645.43
239,2687,5520,2025-04-24,2,Size Issue,142339.56
240,2696,5533,2025-08-07,2,Size Issue,5827.89
241,2710,5565,2025-12-11,2,Not as Expected,8783.13
242,2723,5587,2025-08-09,2,Changed Mind,13622.22
243,2727,5594,2025-05-12,3,Wrong Item,16790.58
244,2728,5597,2025-06-30,3,Changed Mind,40105.17
245,2742,5632,2025-03-04,1,Damaged,3788.15
246,2771,5694,2025-12-01,1,Wrong Item,21063.32
247,2787,5722,2025-02-02,1,Wrong Item,24772.71
248,2814,5786,2025-05-01,2,Changed Mind,24958.12
249,2886,5932,2025-07-10,1,Changed Mind,6415.26
250,2886,5933,2025-07-05,1,Size Issue,12252.26
251,2887,5934,2025-04-23,1,Size Issue,17797.12
252,2887,5937,2025-05-17,1,Not as Expected,39889.88
253,2891,5947,2025-01-14,1,Damaged,462.42
254,2891,5948,2025-01-23,1,Not as Expected,33845.11
255,2900,5964,2025-04-18,1,Wrong Item,13414.84
256,2927,6020,2025-04-04,1,Changed Mind,3024.33
257,2936,6041,2025-11-16,1,Wrong Item,23235.38
258,2941,6051,2025-03-03,1,Wrong Item,16414.44
259,2968,6107,2025-12-15,1,Changed Mind,2248.83
260,2980,6133,2025-06-17,1,Size Issue,9557.75
261,2983,6139,2025-11-19,1,Changed Mind,21483.76
262,2992,6165,2025-02-17,1,Damaged,14545.44
263,2999,6177,2025-03-08,1,Size Issue,5299.61
264,3011,6209,2025-11-16,1,Size Issue,9401.25
265,3022,6233,2025-08-16,1,Not as Expected,4856.61
266,3032,6254,2025-08-13,1,Not as Expected,6526.24
267,3038,6267,2025-08-01,1,Changed Mind,5914.31
268,3044,6281,2025-12-08,2,Damaged,21029.63
269,3044,6284,2025-11-29,1,Changed Mind,69276.49
270,3088,6374,2025-12-31,1,Not as Expected,6853.82
271,3103,6409,2025-02-08,1,Size Issue,5638.38
272,3107,6418,2025-08-09,1,Wrong Item,3173.19
273,3134,6470,2025-11-01,1,Size Issue,27844.74
274,3178,6559,2025-12-21,1,Damaged,4223.11
275,3180,6561,2025-09-29,1,Not as Expected,43804.02
276,3207,6618,2025-08-31,4,Wrong Item,14280.92
277,3215,6633,2025-06-11,1,Changed Mind,11701.9
278,3219,6646,2025-10-19,1,Changed Mind,46196.86
279,3226,6662,2025-11-03,1,Not as Expected,13837.65
280,3248,6701,2025-08-08,1,Damaged,17517.84
281,3262,6730,2025-05-29,1,Size Issue,16637.85
282,3270,6747,2025-02-14,1,Not as Expected,42527.82
283,3293,6787,2025-12-13,1,Damaged,7348.62
284,3294,6790,2025-10-03,2,Not as Expected,6965.56
285,3305,6811,2025-06-28,1,Changed Mind,10824.51
286,3306,6814,2025-10-29,4,Size Issue,12037.56
287,3311,6826,2025-10-29,1,Not as Expected,557.63
288,3314,6830,2025-05-15,1,Changed Mind,2013.34
289,3316,6837,2025-06-23,1,Damaged,18206.26
290,3321,6850,2025-02-26,1,Not as Expected,34678.54
291,3331,6874,2025-05-07,1,Wrong Item,85157.66
292,3334,6882,2025-09-19,1,Damaged,31636.97
293,3340,6897,2025-12-30,1,Damaged,24847.65
294,3342,6900,2025-08-20,2,Not as Expected,22999.52
295,3345,6905,2025-11-06,1,Size Issue,6283.04
296,3356,6929,2025-05-29,1,Not as Expected,77004.7
297,3360,6939,2025-02-08,1,Changed Mind,2434.49
298,3361,6940,2025-12-31,1,Not as Expected,7275.47
299,3379,6967,2025-11-06,1,Size Issue,3183.51
300,3392,6995,2025-02-01,1,Not as Expected,33845.11
301,3394,7004,2025-06-17,1,Wrong Item,2425.6
302,3403,7020,2025-09-16,1,Changed Mind,18007.04
303,3405,7026,2025-06-11,1,Not as Expected,12531.84
304,3413,7038,2025-03-21,1,Changed Mind,8635.81
305,3441,7100,2025-10-07,1,Changed Mind,6733.57
306,3471,7154,2025-07-07,2,Not as Expected,9245.4
307,3488,7184,2025-06-11,1,Changed Mind,8095.73
308,3516,7239,2025-10-18,1,Changed Mind,11931.54
309,3518,7243,2025-05-20,2,Not as Expected,15007.97
310,3521,7249,2025-09-27,1,Wrong Item,2244.69
311,3527,7258,2025-10-13,1,Not as Expected,2568.29
312,3537,7279,2025-08-25,3,Size Issue,11407.8
313,3538,7282,2025-10-15,1,Wrong Item,18241.6
314,3542,7288,2025-09-09,1,Damaged,50753.93
315,3550,7305,2025-08-23,1,Size Issue,13713.8
316,3569,7340,2025-01-26,1,Damaged,21063.32
317,3576,7349,2025-12-25,1,Wrong Item,10098.31
318,3577,7354,2025-03-03,1,Wrong Item,7037.18
319,3587,7372,2025-09-25,1,Wrong Item,65630.36
320,3598,7396,2025-12-28,1,Wrong Item,8737.91
321,3605,7413,2025-07-21,2,Changed Mind,55507.3
322,3610,7426,2025-07-03,1,Size Issue,5390.24
323,3616,7434,2025-11-19,1,Not as Expected,64398.64
324,3617,7439,2025-10-24,1,Size Issue,47843.8
325,3632,7476,2025-06-04,3,Changed Mind,104417.76
326,3653,7518,2025-10-08,1,Not as Expected,53159.78
327,3655,7522,2025-09-14,1,Wrong Item,8278.02
328,3667,7545,2025-03-05,2,Wrong Item,34545.42
329,3676,7561,2025-07-25,1,Not as Expected,74915.56
330,3684,7577,2025-07-13,1,Size Issue,14686.61
331,3689,7591,2025-07-19,1,Not as Expected,67424.0
332,3717,7646,2025-09-01,1,Damaged,10553.13
333,3719,7652,2025-05-20,1,Size Issue,72563.1
334,3733,7681,2025-05-29,1,Damaged,7645.97
335,3735,7685,2025-04-05,1,Changed Mind,45035.1
336,3766,7754,2025-04-09,1,Not as Expected,11257.59
337,3780,7790,2025-08-31,1,Changed Mind,4557.56
338,3785,7798,2025-11-01,1,Wrong Item,6283.04
339,3800,7831,2025-03-18,1,Changed Mind,5823.38
340,3803,7836,2025-02-13,1,Damaged,462.42
341,3809,7849,2025-04-02,1,Wrong Item,7965.2
342,3820,7863,2025-03-21,1,Changed Mind,26447.21
343,3825,7872,2025-10-17,1,Changed Mind,1251.01
344,3827,7877,2025-12-31,1,Size Issue,7832.46
345,3829,7886,2025-02-13,1,Damaged,14160.54
346,3830,7888,2025-03-19,1,Not as Expected,69520.95
347,3832,7894,2025-03-04,1,Changed Mind,24083.64
348,3844,7921,2025-12-31,1,Wrong Item,3797.84
349,3847,7932,2025-12-31,1,Not as Expected,528.28
350,3855,7949,2025-06-13,1,Size Issue,9930.66
351,3858,7956,2025-12-10,1,Wrong Item,15440.84
352,3877,7999,2025-06-27,1,Wrong Item,68126.13
353,3879,8002,2025-04-23,1,Damaged,4294.05
354,3887,8018,2025-09-27,3,Size Issue,6008.66
355,3894,8030,2025-09-14,1,Damaged,3056.56
356,3895,8033,2025-07-25,1,Size Issue,48789.24
357,3899,8042,2025-04-07,1,Changed Mind,5789.44
358,3919,8071,2025-10-20,1,Damaged,4622.7
359,3930,8091,2025-10-15,3,Damaged,12130.43
360,3953,8138,2025-11-07,1,Damaged,17272.71
361,3963,8153,2025-10-23,1,Damaged,58338.1
362,3966,8158,2025-11-09,1,Changed Mind,63678.23
363,3977,8183,2025-06-14,1,Changed Mind,11872.27
364,3994,8223,2025-10-21,1,Size Issue,72563.1
365,4003,8242,2025-12-21,1,Wrong Item,13837.65
366,4016,8266,2025-11-10,1,Size Issue,10553.13
367,4035,8300,2025-04-29,1,Changed Mind,11438.37
368,4041,8309,2025-02-22,1,Changed Mind,17272.71
369,4050,8330,2025-09-29,1,Size Issue,3693.49
370,4062,8356,2025-09-26,1,Changed Mind,23309.52
371,4064,8362,2025-12-31,1,Wrong Item,2178.23
372,4065,8364,2025-09-27,1,Not as Expected,6602.36
373,4096,8434,2025-11-26,1,Changed Mind,20012.77
374,4123,8483,2025-06-15,1,Not as Expected,11053.15
375,4129,8494,2025-07-06,2,Damaged,3954.73
376,4130,8495,2025-10-17,1,Changed Mind,8202.58
377,4133,8502,2025-11-03,1,Size Issue,2865.16
378,4158,8546,2025-11-29,1,Wrong Item,13300.07
379,4176,8583,2025-04-21,1,Changed Mind,1109.22
380,4188,8613,2025-02-24,1,Wrong Item,8849.06
381,4225,8693,2025-12-02,1,Changed Mind,1550.5
382,4265,8772,2025-04-07,1,Wrong Item,1997.88
383,4267,8778,2025-10-24,1,Wrong Item,7974.58
384,4274,8796,2025-04-14,1,Size Issue,4622.7
385,4276,8800,2025-04-22,1,Not as Expected,3024.33
386,4286,8821,2025-01-12,3,Damaged,16574.5
387,4301,8851,2025-03-31,1,Changed Mind,1886.89
388,4301,8852,2025-04-14,1,Not as Expected,13414.84
389,4303,8854,2025-07-02,1,Not as Expected,12133.75
390,4312,8867,2025-11-14,1,Not as Expected,5090.79
391,4319,8878,2025-12-31,1,Size Issue,1997.88
392,4333,8909,2025-11-20,2,Changed Mind,16223.73
393,4336,8916,2025-06-02,1,Size Issue,48082.67
394,4339,8920,2025-12-03,1,Changed Mind,45411.41
395,4344,8931,2025-12-13,2,Damaged,5376.75
396,4350,8945,2025-09-02,1,Size Issue,7028.23
397,4350,8946,2025-08-28,1,Damaged,8737.91
398,4373,8994,2025-10-25,1,Damaged,4289.47
399,4385,9012,2025-03-03,1,Damaged,17097.34
400,4391,9026,2025-12-07,1,Not as Expected,42740.15
401,4394,9031,2025-11-04,1,Changed Mind,19464.27
402,4406,9048,2025-10-15,1,Size Issue,46929.27
403,4408,9051,2025-12-12,1,Size Issue,2167.68
404,4441,9116,2025-12-20,1,Not as Expected,23955.35
405,4449,9131,2025-08-18,1,Changed Mind,2710.97
406,4464,9161,2025-07-05,1,Wrong Item,2600.53
407,4479,9190,2025-02-13,2,Wrong Item,178434.24
408,4491,9213,2025-03-25,1,Wrong Item,9669.1
409,4496,9222,2025-03-12,1,Damaged,8038.43
410,4500,9228,2025-02-19,1,Wrong Item,9680.56
411,4500,9230,2025-02-20,1,Changed Mind,18425.99
412,4504,9236,2025-03-25,1,Not as Expected,4223.11
413,4534,9301,2025-12-10,1,Damaged,5367.04
414,4536,9307,2025-07-28,2,Size Issue,1996.6
415,4553,9345,2025-07-25,1,Wrong Item,47896.11
416,4564,9376,2025-10-26,1,Damaged,4558.69
417,4576,9401,2025-12-31,1,Damaged,3956.66
418,4577,9403,2025-05-29,2,Wrong Item,42967.52
419,4577,9404,2025-05-04,1,Size Issue,9112.11
420,4588,9427,2025-10-26,1,Size Issue,5974.0
421,4604,9460,2025-11-03,2,Wrong Item,16535.19
422,4616,9485,2025-04-11,1,Wrong Item,17278.36
423,4616,9486,2025-04-15,1,Wrong Item,92374.19
424,4618,9492,2025-02-07,1,Changed Mind,74469.42
425,4632,9520,2025-02-13,1,Damaged,2408.53
426,4634,9527,2025-03-17,1,Damaged,12531.84
427,4643,9550,2025-12-31,1,Size Issue,72922.62
428,4645,9556,2025-08-31,1,Changed Mind,84250.43
429,4656,9579,2025-07-22,1,Changed Mind,3170.63
430,4675,9616,2025-10-17,1,Damaged,10866.45
431,4681,9630,2025-10-22,1,Not as Expected,17272.71
432,4705,9679,2025-05-30,1,Wrong Item,3976.55
433,4722,9717,2025-08-17,1,Changed Mind,11013.32
434,4727,9723,2025-12-06,1,Wrong Item,16850.66
435,4753,9777,2025-07-07,1,Damaged,10830.06
436,4769,9816,2025-12-24,1,Not as Expected,8809.62
437,4801,9880,2025-01-19,1,Changed Mind,72279.48
438,4809,9900,2025-03-27,2,Changed Mind,61451.59
439,4819,9921,2025-12-18,1,Not as Expected,14074.85
440,4822,9927,2025-07-27,2,Changed Mind,7224.94
441,4885,10059,2025-12-17,2,Changed Mind,60815.31
442,4903,10092,2025-12-31,1,Changed Mind,74915.56
443,4908,10100,2025-07-05,1,Not as Expected,4650.33
444,4927,10143,2025-08-11,1,Changed Mind,5611.66
445,4937,10160,2025-11-20,1,Damaged,18959.46
446,4938,10162,2025-05-06,1,Changed Mind,9112.11
447,4943,10180,2025-04-15,1,Damaged,4658.7
448,4945,10186,2025-08-01,1,Not as Expected,3929.29
449,4947,10190,2025-11-19,1,Damaged,16815.65
450,4954,10203,2025-01-21,1,Wrong Item,20274.81
451,4972,10242,2025-10-30,1,Size Issue,4949.87
452,4995,10284,2025-12-12,1,Wrong Item,1539.65
453,5005,10299,2025-07-22,1,Wrong Item,74915.56
454,5014,10315,2025-07-23,2,Not as Expected,13142.92
455,5025,10339,2025-12-31,1,Wrong Item,22713.56
456,5052,10397,2025-02-22,1,Damaged,2516.67
457,5061,10418,2025-10-01,2,Size Issue,34638.72
458,5065,10427,2025-08-23,1,Wrong Item,76944.97
459,5071,10436,2025-09-23,1,Size Issue,10920.38
460,5091,10478,2025-05-19,1,Changed Mind,14549.56
461,5102,10501,2025-07-13,1,Not as Expected,61829.22
462,5105,10509,2025-11-11,1,Wrong Item,56768.87
463,5116,10532,2025-11-20,1,Wrong Item,17700.68
464,5117,10534,2025-10-31,1,Size Issue,49181.55
465,5160,10615,2025-02-12,1,Size Issue,2503.61
466,5171,10638,2025-04-30,1,Not as Expected,50753.93
467,5172,10640,2025-03-01,1,Not as Expected,3929.29
468,5181,10657,2025-05-05,1,Changed Mind,42740.15
469,5188,10675,2025-09-22,1,Not as Expected,11728.56
470,5189,10676,2025-11-02,1,Wrong Item,50354.71
471,5191,10681,2025-06-09,1,Not as Expected,1109.22
472,5195,10688,2025-07-17,1,Wrong Item,67295.29
473,5199,10699,2025-09-20,1,Changed Mind,6024.77
474,5206,10710,2025-10-16,1,Size Issue,419.33
475,5207,10713,2025-05-27,1,Size Issue,4756.46
476,5222,10743,2025-03-13,2,Changed Mind,40762.6
477,5227,10757,2025-12-02,1,Wrong Item,6058.96
478,5232,10765,2025-02-07,1,Size Issue,14545.44
479,5233,10768,2025-05-30,2,Size Issue,34020.32
480,5244,10791,2025-05-10,1,Size Issue,18684.96
481,5246,10794,2025-03-14,1,Not as Expected,43348.18
482,5251,10800,2025-05-17,1,Changed Mind,11962.76
483,5272,10841,2025-09-23,1,Damaged,15673.42
484,5292,10884,2025-05-21,1,Damaged,53425.19
485,5307,10913,2025-03-22,1,Wrong Item,682.74
486,5313,10929,2025-11-23,1,Changed Mind,25124.85
487,5348,11005,2025-04-14,1,Changed Mind,56205.97
488,5355,11020,2025-02-25,1,Not as Expected,1536.49
489,5369,11050,2025-02-18,1,Damaged,3566.96
490,5373,11061,2025-12-27,1,Changed Mind,21467.45
491,5377,11066,2025-08-10,1,Size Issue,887.38
492,5427,11157,2025-12-31,3,Not as Expected,102419.31
493,5447,11194,2025-08-08,1,Wrong Item,8737.91
494,5448,11195,2025-08-21,1,Damaged,15978.2
